Nodelist id,Nodelist name,from,Check1,to,Check2,Kommentar,Anleitung
Dresdener,Dresdner SC 1898,Palleres,#N/A,GHO,#N/A,,
Bosca,Bosca San Bernardo Cuneo,Palleres,#N/A,CVB,#N/A,,
Saugella,Saugella Team Monza,Jasper,#N/A,Niederlande,#N/A,,
Delta,Delta Informatica Trentino,Jasper,#N/A,VFBSLT,#N/A,,
Geo,Geovillage Hermaea Olbia,Jasper,#N/A,VCS,#N/A,,
Cvbarc,CV Barcelona,Dornheim,#N/A,Deutschland,#N/A,,
Vfbsuhl,VfB Suhl Lotto Thüringen,Dornheim,#N/A,AMTVS,#N/A,,
Vcsneek,VC Sneek,Dornheim,#N/A,BSPS,#N/A,,
Aalianzmtv,Allianz MTV Stuttgart II,Rivers,#N/A,USA,USA,,
University,University of Alabama,Rivers,#N/A,UOA,#N/A,,
Beziers,Beziers Angels,Rivers,#N/A,BA,#N/A,,
LBM,Luka Bar (MNE),Rivers,#N/A,LBMNE,#N/A,,
FTM,FV Tübinger Modell,Berger,#N/A,Deutschland,#N/A,,
BMS,BSP MTV Stuttgart,Berger,#N/A,FVTM,#N/A,,
VB,VCO Berlin,Berger,#N/A,BSPMTVS,#N/A,,
ONKB,OK Nova KBM Branik,Berger,#N/A,VCOB,#N/A,,
LV,LP Viesti,Koskelo,#N/A,Finnland,#N/A,,
LK,LP Kangasala,Koskelo,#N/A,OKNKBMB,#N/A,,
HL,Hämeenlinnan Lentopallokerho,Koskelo,#N/A,LPV,#N/A,,
K,Kimmo,Koskelo,#N/A,LPK,#N/A,,
SP,Someron Pallo,Koskelo,#N/A,HL,HL,,
EJMS,Eigene Jugend MTV Stuttgart,Koskelo,#N/A,K,K,,
AMS,Allianz MTV Stuttgart,Koskelo,#N/A,SP,SP,,
DE,Deutschland,Grundt,#N/A,Deutschland,#N/A,,
FL,Finnland,Grundt,#N/A,EJMTVS,#N/A,,
USA,USA,Grundt,#N/A,BSPS,#N/A,,
NL,Niederlande,,#N/A,,#N/A,,
SPA,Spanien,,#N/A,,#N/A,,
PO,Polen,,#N/A,,#N/A,,
BE,Belgien,,#N/A,,#N/A,,
BU,Bulgarien,,#N/A,,#N/A,,
,,,#N/A,,#N/A,,
,,,#N/A,,#N/A,,
,,,#N/A,,#N/A,,
,,,#N/A,,#N/A,,
,,,#N/A,,#N/A,,
,,,#N/A,,#N/A,,
,,,#N/A,,#N/A,,
,,,#N/A,,#N/A,,
,,,#N/A,,#N/A,,
,,,#N/A,,#N/A,,
